feature,level,unit,definition,required_data,aggregation,missing_policy,tracking_or_event,version
source,player_frame,identifier/metadata,Source/method label; provider estimates are not independent ground truth,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
coordinate_confidence,player_frame,identifier/metadata,Provider confidence preserved as text on its native scale; NULL if unreported,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
identity_confidence,player_frame,identifier/metadata,Provider identity confidence preserved as text on its native scale; NULL if unreported,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
attacking_direction,player_frame,identifier/metadata,Explicit positive_x or negative_x per match/team/period in shared canonical frame,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
valid_observation,player_frame,boolean,visible=true AND detected=true AND complete finite coordinate pair inside closed pitch bounds,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,Always boolean; invalid rows retained,tracking,spatial-v1
team_x_m,player_frame,m on canonical pitch,"Team-relative x; negative_x attack rotates (x,y) to (105-x,68-y); y=0 attacking left",Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
team_y_m,player_frame,m on canonical pitch,"Team-relative y; negative_x attack rotates (x,y) to (105-x,68-y); y=0 attacking left",Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
pitch_zone,player_frame,category,left_wide: 0<=team_y_m<13.6; left_halfspace: 13.6<=team_y_m<27.2; central: 27.2<=team_y_m<40.8; right_halfspace: 40.8<=team_y_m<54.4; right_wide: 54.4<=team_y_m<=68,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
nearest_teammate_distance_m,player_frame,m on canonical pitch,Minimum Euclidean distance to other valid visible teammate; self excluded; shared coordinates,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL if target invalid or no valid visible teammate; not infinity or zero,tracking,spatial-v1
nearest_opponent_distance_m,player_frame,m on canonical pitch,Minimum Euclidean distance to other valid visible opponent; self excluded; shared coordinates,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL if target invalid or no valid visible opponent; not infinity or zero,tracking,spatial-v1
local_teammates_r5,player_frame,count,Count of other valid visible teammates within Euclidean distance <= 5m + 1e-9m; self excluded,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL if target invalid or no valid visible teammates; zero only with observed support outside radius,tracking,spatial-v1
local_opponents_r5,player_frame,count,Count of other valid visible opponents within Euclidean distance <= 5m + 1e-9m; self excluded,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL if target invalid or no valid visible opponents; zero only with observed support outside radius,tracking,spatial-v1
local_teammates_r10,player_frame,count,Count of other valid visible teammates within Euclidean distance <= 10m + 1e-9m; self excluded,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL if target invalid or no valid visible teammates; zero only with observed support outside radius,tracking,spatial-v1
local_opponents_r10,player_frame,count,Count of other valid visible opponents within Euclidean distance <= 10m + 1e-9m; self excluded,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL if target invalid or no valid visible opponents; zero only with observed support outside radius,tracking,spatial-v1
match_id,team_frame,identifier/metadata,Namespaced source match identity,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
period,team_frame,identifier/metadata,Source period integer; windows never mix periods,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
frame_id,team_frame,identifier/metadata,Source frame integer; unique per match and period at one timestamp,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
timestamp_s,team_frame,identifier/metadata,Numeric source match-clock seconds; retained independently of period,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
team_id,team_frame,identifier/metadata,Namespaced verified team identity,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
visible_team_players,team_frame,count,Number of valid visible/detected in-pitch team players; includes goalkeepers; zero if team absent in an available frame,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,"Zero is an observed count, never an inferred tactical extent",tracking,spatial-v1
team_width_m,team_frame,m on canonical pitch,max(y_m) - min(y_m) over valid visible players in team/frame; requires >= 3 players; includes goalkeepers,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL below 3 valid visible players; no unseen-player imputation,tracking,spatial-v1
team_depth_m,team_frame,m on canonical pitch,max(x_m) - min(x_m) over valid visible players in team/frame; requires >= 3 players; includes goalkeepers,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL below 3 valid visible players; no unseen-player imputation,tracking,spatial-v1
min_team_players,team_frame,identifier/metadata,Configured minimum valid visible team-player count for extents,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
match_id,frame_quality,identifier/metadata,Namespaced source match identity,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
period,frame_quality,identifier/metadata,Source period integer; windows never mix periods,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
frame_id,frame_quality,identifier/metadata,Source frame integer; unique per match and period at one timestamp,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
timestamp_s,frame_quality,identifier/metadata,Numeric source match-clock seconds; retained independently of period,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
input_rows,frame_quality,count,"Count of input canonical rows, including invalid/missing observations",Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no qualifying rows,tracking,spatial-v1
valid_player_observations,frame_quality,count,Count of valid visible/detected in-pitch players in frame,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no qualifying rows,tracking,spatial-v1
missing_coordinate_rows,frame_quality,count,Count of rows whose x_m and y_m are both NULL,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no qualifying rows,tracking,spatial-v1
out_of_pitch_rows,frame_quality,count,"Count of finite rows outside closed pitch rectangle but within 0.1m tolerance; excluded, never clipped",Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no qualifying rows,tracking,spatial-v1
nonvisible_or_unknown_rows,frame_quality,count,Count of rows with visible false or NULL,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no qualifying rows,tracking,spatial-v1
nondetected_or_unknown_rows,frame_quality,count,Count of rows with detected false or NULL,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no qualifying rows,tracking,spatial-v1
visible_teams,frame_quality,count,Number of distinct teams with at least one valid visible player in frame,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no qualifying rows,tracking,spatial-v1
match_id,player_window,identifier/metadata,Namespaced source match identity,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
period,player_window,identifier/metadata,Source period integer; windows never mix periods,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
team_id,player_window,identifier/metadata,Namespaced verified team identity,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
window_start_s,player_window,identifier/metadata,Inclusive selected window start in source clock seconds,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
window_end_s,player_window,identifier/metadata,Exclusive selected window end in source clock seconds,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
sample_interval_s,player_window,identifier/metadata,Declared uniform sampling interval; off-grid and duplicate-slot frames rejected,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
entity_id,player_window,identifier/metadata,"player:<player_id> when known, otherwise track:<track_id>; grouping within match/period/team",Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
player_id,player_window,identifier/metadata,"Namespaced provider player identity, NULL for anonymous tracks",Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
track_ids,player_window,identifier/metadata,Sorted pipe-separated track IDs contributing input rows to this entity/window,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
input_rows,player_window,count,"Count of input canonical rows, including invalid/missing observations",Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no qualifying rows,tracking,spatial-v1
observed_frames,player_window,count,Valid visible/detected in-pitch player-frame count; denominator for position and occupancy,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no observations,tracking,spatial-v1
expected_frames,player_window,count,Explicit eligible player sampling-slot count supplied by caller for this window; roster needed; never inferred from detection,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL if player eligibility unknown; team grid count always known,tracking,spatial-v1
visible_fraction,player_window,share,observed_frames / expected_frames,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL for unknown or zero expected_frames,tracking,spatial-v1
time_span_s,player_window,s,Last valid player timestamp minus first valid timestamp; not observed duration; zero for one observation,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
tracking_avg_x_m,player_window,m on canonical pitch,Mean team-relative x coordinate over observed_frames; requires explicit direction,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Equal valid-frame arithmetic mean,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
tracking_avg_y_m,player_window,m on canonical pitch,Mean team-relative y coordinate over observed_frames; requires explicit direction,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Equal valid-frame arithmetic mean,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
tracking_left_wide_occupancy,player_window,share,Number of valid player frames with pitch_zone=left_wide / observed_frames,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Equal valid-frame share; regular-grid tracking-time representation,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
tracking_left_halfspace_occupancy,player_window,share,Number of valid player frames with pitch_zone=left_halfspace / observed_frames,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Equal valid-frame share; regular-grid tracking-time representation,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
tracking_central_occupancy,player_window,share,Number of valid player frames with pitch_zone=central / observed_frames,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Equal valid-frame share; regular-grid tracking-time representation,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
tracking_right_halfspace_occupancy,player_window,share,Number of valid player frames with pitch_zone=right_halfspace / observed_frames,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Equal valid-frame share; regular-grid tracking-time representation,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
tracking_right_wide_occupancy,player_window,share,Number of valid player frames with pitch_zone=right_wide / observed_frames,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Equal valid-frame share; regular-grid tracking-time representation,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
tracking_halfspace_occupancy,player_window,share,tracking_left_halfspace_occupancy + tracking_right_halfspace_occupancy,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Equal valid-frame share; regular-grid tracking-time representation,NULL when no valid observations contribute; never zero-filled,tracking,spatial-v1
valid_nearest_teammate_frames,player_window,count,Count of frames with non-NULL nearest_teammate_distance_m; mean/median denominator,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no contributing frames,tracking,spatial-v1
mean_nearest_teammate_distance_m,player_window,m on canonical pitch,mean over valid_nearest_teammate_frames of per-frame nearest teammate distance,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,mean over valid_nearest_teammate_frames,NULL if target invalid or no valid visible teammate; not infinity or zero,tracking,spatial-v1
median_nearest_teammate_distance_m,player_window,m on canonical pitch,median over valid_nearest_teammate_frames of per-frame nearest teammate distance,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,median over valid_nearest_teammate_frames,NULL if target invalid or no valid visible teammate; not infinity or zero,tracking,spatial-v1
valid_nearest_opponent_frames,player_window,count,Count of frames with non-NULL nearest_opponent_distance_m; mean/median denominator,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no contributing frames,tracking,spatial-v1
mean_nearest_opponent_distance_m,player_window,m on canonical pitch,mean over valid_nearest_opponent_frames of per-frame nearest opponent distance,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,mean over valid_nearest_opponent_frames,NULL if target invalid or no valid visible opponent; not infinity or zero,tracking,spatial-v1
median_nearest_opponent_distance_m,player_window,m on canonical pitch,median over valid_nearest_opponent_frames of per-frame nearest opponent distance,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,median over valid_nearest_opponent_frames,NULL if target invalid or no valid visible opponent; not infinity or zero,tracking,spatial-v1
mean_local_teammates_r5,player_window,count,Count of other valid visible teammates within Euclidean distance <= 5m + 1e-9m; self excluded,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Arithmetic mean over valid_local_teammates_r5_frames,NULL if target invalid or no valid visible teammates; zero only with observed support outside radius,tracking,spatial-v1
valid_local_teammates_r5_frames,player_window,count,Count of frames with non-NULL local_teammates_r5; corresponding mean denominator,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no contributing frames,tracking,spatial-v1
mean_local_opponents_r5,player_window,count,Count of other valid visible opponents within Euclidean distance <= 5m + 1e-9m; self excluded,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Arithmetic mean over valid_local_opponents_r5_frames,NULL if target invalid or no valid visible opponents; zero only with observed support outside radius,tracking,spatial-v1
valid_local_opponents_r5_frames,player_window,count,Count of frames with non-NULL local_opponents_r5; corresponding mean denominator,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no contributing frames,tracking,spatial-v1
mean_local_teammates_r10,player_window,count,Count of other valid visible teammates within Euclidean distance <= 10m + 1e-9m; self excluded,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Arithmetic mean over valid_local_teammates_r10_frames,NULL if target invalid or no valid visible teammates; zero only with observed support outside radius,tracking,spatial-v1
valid_local_teammates_r10_frames,player_window,count,Count of frames with non-NULL local_teammates_r10; corresponding mean denominator,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no contributing frames,tracking,spatial-v1
mean_local_opponents_r10,player_window,count,Count of other valid visible opponents within Euclidean distance <= 10m + 1e-9m; self excluded,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Arithmetic mean over valid_local_opponents_r10_frames,NULL if target invalid or no valid visible opponents; zero only with observed support outside radius,tracking,spatial-v1
valid_local_opponents_r10_frames,player_window,count,Count of frames with non-NULL local_opponents_r10; corresponding mean denominator,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no contributing frames,tracking,spatial-v1
match_id,team_window,identifier/metadata,Namespaced source match identity,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
period,team_window,identifier/metadata,Source period integer; windows never mix periods,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
team_id,team_window,identifier/metadata,Namespaced verified team identity,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
window_start_s,team_window,identifier/metadata,Inclusive selected window start in source clock seconds,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
window_end_s,team_window,identifier/metadata,Exclusive selected window end in source clock seconds,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
sample_interval_s,team_window,identifier/metadata,Declared uniform sampling interval; off-grid and duplicate-slot frames rejected,Canonical rows or explicit window configuration,none,"Required except nullable player ID, confidence, visible and detected; unknown stays NULL",tracking,spatial-v1
observed_frames,team_window,count,Available team-frame rows; includes zero-visible-player rows; denominator for mean_visible_team_players,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no observations,tracking,spatial-v1
expected_frames,team_window,count,(window_end_s-window_start_s)/sample_interval_s; integer count of expected team sampling slots,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL if player eligibility unknown; team grid count always known,tracking,spatial-v1
visible_fraction,team_window,share,"visible_frames / expected_frames; at least one valid player, not full-team completeness",Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL for unknown or zero expected_frames,tracking,spatial-v1
frame_coverage_fraction,team_window,share,"observed_frames / expected_frames; available team-frame support, independent of visibility",Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,none,NULL for zero expected_frames,tracking,spatial-v1
visible_frames,team_window,count,Count of team frames with visible_team_players > 0,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no visible support,tracking,spatial-v1
mean_visible_team_players,team_window,count,Number of valid visible/detected in-pitch team players; includes goalkeepers; zero if team absent in an available frame,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Arithmetic mean over observed_frames; wholly absent frames excluded,"Zero is an observed count, never an inferred tactical extent",tracking,spatial-v1
valid_team_frames,team_window,count,Count of frames with non-NULL both width and depth,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no contributing frames,tracking,spatial-v1
mean_team_width_m,team_window,m on canonical pitch,max(y_m) - min(y_m) over valid visible players in team/frame; requires >= 3 players; includes goalkeepers,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,mean of non-NULL frame extents,NULL below 3 valid visible players; no unseen-player imputation,tracking,spatial-v1
median_team_width_m,team_window,m on canonical pitch,max(y_m) - min(y_m) over valid visible players in team/frame; requires >= 3 players; includes goalkeepers,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,median of non-NULL frame extents,NULL below 3 valid visible players; no unseen-player imputation,tracking,spatial-v1
valid_team_width_frames,team_window,count,Count of frames with non-NULL team_width,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no contributing frames,tracking,spatial-v1
mean_team_depth_m,team_window,m on canonical pitch,max(x_m) - min(x_m) over valid visible players in team/frame; requires >= 3 players; includes goalkeepers,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,mean of non-NULL frame extents,NULL below 3 valid visible players; no unseen-player imputation,tracking,spatial-v1
median_team_depth_m,team_window,m on canonical pitch,max(x_m) - min(x_m) over valid visible players in team/frame; requires >= 3 players; includes goalkeepers,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,median of non-NULL frame extents,NULL below 3 valid visible players; no unseen-player imputation,tracking,spatial-v1
valid_team_depth_frames,team_window,count,Count of frames with non-NULL team_depth,Finite in-pitch x_m/y_m; visible=true; detected=true; canonical team and track identities,Count,Zero when no contributing frames,tracking,spatial-v1
